   depth     nuclear energy deposition by components per projectile and depth interval
   Angs      eV/Angs
 0.1705E+04  0.0000E+00 0.0000E+00
 0.1715E+04  0.0000E+00 0.0000E+00
 0.1725E+04  0.0000E+00 0.0000E+00
 0.1735E+04  0.0000E+00 0.0000E+00
 0.1745E+04  0.0000E+00 0.0000E+00
 0.1755E+04  0.0000E+00 0.0000E+00
 0.1765E+04  0.0000E+00 0.0000E+00
 0.1775E+04  0.0000E+00 0.0000E+00
 0.1785E+04  0.0000E+00 0.0000E+00
 0.1795E+04  0.0000E+00 0.0000E+00
 0.1805E+04  0.0000E+00 0.0000E+00
 0.1815E+04  0.0000E+00 0.0000E+00
 0.1825E+04  0.0000E+00 0.0000E+00
 0.1835E+04  0.0000E+00 0.0000E+00
 0.1845E+04  0.0000E+00 0.0000E+00
 0.1855E+04  0.0000E+00 0.0000E+00
 0.1865E+04  0.0000E+00 0.0000E+00
 0.1875E+04  0.0000E+00 0.0000E+00
 0.1885E+04  0.0000E+00 0.0000E+00
 0.1895E+04  0.0000E+00 0.0000E+00
 0.1905E+04  0.0000E+00 0.0000E+00
 0.1915E+04  0.0000E+00 0.0000E+00
 0.1925E+04  0.0000E+00 0.0000E+00
 0.1935E+04  0.0000E+00 0.0000E+00
 0.1945E+04  0.0000E+00 0.0000E+00
 0.1955E+04  0.0000E+00 0.0000E+00
 0.1965E+04  0.0000E+00 0.0000E+00
 0.1975E+04  0.0000E+00 0.0000E+00
 0.1985E+04  0.0000E+00 0.0000E+00
 0.1995E+04  0.0000E+00 0.0000E+00
