 cpt#    psproj# nr.coll energy       directional cosines x,y,z                        emission site x,y,z
                         (eV)                                                          (Angs)
   1         212    9    0.1180E+03  -0.99254239E+00  0.93211211E-01 -0.78557454E-01  -0.278761E+01  0.527314E+00 -0.965274E+01
   1         214    4    0.2832E+03  -0.72057050E+00 -0.39911765E+00 -0.56699491E+00  -0.872037E+00 -0.968858E+00 -0.540827E+01
   1         222    1    0.2053E+03  -0.16101862E+00 -0.83365643E+00  0.52828956E+00  -0.271378E+01 -0.216161E+02  0.123683E+02
   1         227    5    0.1890E+03  -0.91633868E+00  0.38568768E+00  0.10755616E+00  -0.206409E+01  0.430063E+01  0.476042E+01
   1         230   10    0.1249E+03  -0.71695942E+00 -0.11573068E+00 -0.68744129E+00  -0.195625E+01  0.152815E+02 -0.671822E+01
   1         231    9    0.4448E+02  -0.92653072E+00  0.33497354E+00  0.17127009E+00  -0.234903E+01  0.146650E+02 -0.127272E+02
   1         243    7    0.2628E+03  -0.91519737E+00 -0.38918111E+00  0.10465046E+00  -0.275997E+01 -0.361590E+01  0.117668E+02
   1         249    2    0.2600E+03  -0.38227010E+00  0.19920285E+00 -0.90232354E+00  -0.207815E+01  0.196219E+01 -0.119585E+02
   1         251   12    0.3792E+02  -0.81802213E+00 -0.57437903E+00 -0.30471090E-01  -0.902760E+00 -0.114587E+02  0.305105E+01
   1         254    4    0.1792E+03  -0.99094331E+00 -0.13312213E+00  0.17604919E-01  -0.163648E+01  0.335020E+01 -0.992130E+00
   1         256   15    0.5437E+02  -0.80160064E+00  0.55416912E+00 -0.22434990E+00  -0.236005E+01  0.814626E+00  0.137402E+02
   1         259    4    0.2455E+03  -0.59907353E+00 -0.48776305E+00  0.63497877E+00  -0.150173E+01 -0.771286E+01  0.288939E+01
   1         261    3    0.2512E+03  -0.91816533E+00 -0.31665391E+00 -0.23812324E+00  -0.252691E+01 -0.354720E+01 -0.383039E+01
   1         262   17    0.9358E+01  -0.96507812E+00  0.88507801E-01 -0.24655738E+00  -0.213356E+01 -0.424670E+01 -0.152338E+02
   1         268   11    0.5550E+02  -0.91920704E+00  0.96034065E-01 -0.38188440E+00  -0.118609E+01 -0.278832E+01 -0.143813E+02
   1         273    5    0.2917E+03  -0.32999715E+00  0.43842778E+00 -0.83599210E+00  -0.227119E+01  0.795844E+01 -0.175866E+02
   1         274    2    0.1711E+03  -0.51296765E+00  0.62225723E+00  0.59132069E+00  -0.202136E+01  0.383432E+01  0.529782E+01
   1         275    5    0.1814E+03  -0.94305366E+00  0.64916313E-02  0.33257714E+00  -0.226383E+01  0.442097E+01 -0.497679E+01
   1         278    7    0.3508E+02  -0.85466492E+00  0.22117707E+00  0.46971110E+00  -0.104289E+01 -0.978959E+00  0.259178E+01
   1         282    6    0.8283E+02  -0.70822722E+00  0.65453064E+00  0.26458231E+00  -0.148178E+01 -0.162682E+01  0.572250E+01
   1         283    4    0.1555E+03  -0.18385324E+00 -0.98319978E-01 -0.97802407E+00  -0.262694E+01 -0.113132E+02 -0.117263E+02
   1         285   12    0.5016E+02  -0.96969068E+00 -0.24347758E+00  0.20460131E-01  -0.102469E+01 -0.143446E+02 -0.105657E+00
   1         289    2    0.2534E+03  -0.50918710E+00 -0.13662358E+00 -0.84974265E+00  -0.176130E+01 -0.191921E+01 -0.386742E+01
   1         290    9    0.1359E+02  -0.20522386E+00  0.75131392E+00  0.62722427E+00  -0.267970E+01  0.182855E+02  0.188975E+02
   1         297   15    0.1023E+02  -0.77054775E+00  0.57277632E+00  0.27961323E+00  -0.123309E+01 -0.514703E+01  0.146049E+02
   1         299   10    0.1766E+03  -0.97807133E+00  0.60713865E-01 -0.19922397E+00  -0.174371E+01  0.140017E+02 -0.384234E+01
   1         304    2    0.2867E+03  -0.57799071E+00 -0.79576045E+00 -0.18080960E+00  -0.233345E+01 -0.229889E+02 -0.845700E+01
   1         306    3    0.1968E+03  -0.92788571E+00 -0.35883468E+00 -0.10131980E+00  -0.205653E+01 -0.337039E+01 -0.406665E+01
   1         308   11    0.5546E+02  -0.69659150E+00 -0.32177821E+00  0.64126360E+00  -0.165880E+01  0.105456E+01  0.176825E+02
   1         311   10    0.8552E+02  -0.53656536E+00 -0.31094819E+00 -0.78448004E+00  -0.205067E+01 -0.737861E+01 -0.746860E+01
   1         314   12    0.1737E+03  -0.72776359E+00 -0.63335323E+00 -0.26310387E+00  -0.145347E+01  0.762001E+01  0.179151E+00
   1         319    6    0.2493E+03  -0.52398229E+00  0.85084665E+00 -0.38760871E-01  -0.227605E+01  0.153143E+02 -0.648633E+01
   1         320    1    0.2993E+03  -0.25926402E+00  0.20200256E+00  0.94444543E+00  -0.229128E+01  0.330283E+01  0.170153E+02
   1         322   12    0.4230E+02  -0.92261475E+00 -0.22115186E+00 -0.31602812E+00  -0.166841E+01  0.568349E+01  0.197861E+01
   1         324   11    0.1636E+03  -0.88455623E+00  0.42832509E+00 -0.18465605E+00  -0.748313E+00  0.246582E+01 -0.178884E+02
