 cpt#    psproj# nr.coll energy       directional cosines x,y,z                        emission site x,y,z
                         (eV)                                                          (Angs)
   1         150  160    0.3210E+02  -0.85678869E+00  0.29512879E+00  0.42286175E+00  -0.256611E+01 -0.399262E+02 -0.289521E+02
   1         151   10    0.4570E+03  -0.20478240E+00 -0.92635643E+00 -0.31611359E+00  -0.233227E+01 -0.415876E+02 -0.148918E+02
   2         152    3    0.3307E+03  -0.60718626E+00 -0.78953099E+00 -0.89250647E-01  -0.146922E+01 -0.113632E+02 -0.137243E+01
   2         153   12    0.4602E+02  -0.81013453E+00  0.37599865E+00  0.44978550E+00  -0.139351E+01 -0.167360E+02  0.192201E+01
   1         154    7    0.4576E+03  -0.80990309E+00 -0.39353547E+00 -0.43495628E+00  -0.230621E+01 -0.175347E+02 -0.442531E+01
   1         156  102    0.1626E+03  -0.68902099E+00 -0.69808865E+00  0.19473681E+00  -0.187622E+01 -0.134156E+03  0.761705E+02
   2         158    4    0.4203E+03  -0.23361583E+00 -0.82816201E+00  0.50948131E+00  -0.237344E+01 -0.257064E+02  0.113432E+02
   1         160   38    0.3412E+03  -0.82569170E+00  0.51573044E+00 -0.22859408E+00  -0.183457E+01  0.117456E+01 -0.272568E+02
   1         162   42    0.3451E+03  -0.49294478E+00 -0.46289998E+00 -0.73670137E+00  -0.261832E+01 -0.905748E+02  0.177555E+02
   2         163    5    0.2487E+03  -0.49042493E+00  0.47360906E+00 -0.73155850E+00  -0.218024E+01 -0.457335E+01 -0.125236E+02
   1         164   35    0.3616E+03  -0.64919519E+00  0.13713425E+00  0.74815750E+00  -0.117789E+01 -0.292671E+01  0.581103E+02
   2         165    2    0.3410E+03  -0.31169167E+00 -0.94869488E+00 -0.53163689E-01  -0.258337E+01 -0.170696E+02 -0.117035E+01
   2         166    4    0.3674E+03  -0.54530460E+00 -0.72044325E+00 -0.42849064E+00  -0.189663E+01 -0.152225E+02 -0.491539E+01
   1         167   29    0.3806E+03  -0.93642718E+00  0.28479931E+00 -0.20492288E+00  -0.199289E+01 -0.607335E+02  0.177611E+02
   1         168  136    0.1052E+03  -0.89126492E+00  0.43418190E+00 -0.13089231E+00  -0.133961E+01 -0.930136E+02 -0.111628E+03
   1         169   12    0.4132E+03  -0.55494505E+00 -0.75554430E+00 -0.34812179E+00  -0.245233E+01 -0.190795E+02 -0.171796E+02
   2         170    5    0.4905E+01  -0.90804213E+00 -0.40553278E+00  0.10489298E+00  -0.710676E+00 -0.121149E+02 -0.878186E+00
   2         172    5    0.2136E+03  -0.93262702E+00  0.23087423E+00  0.27731514E+00  -0.644891E+00 -0.127739E+02  0.662033E+00
   2         174    3    0.2619E+03  -0.41183412E+00 -0.40663901E+00  0.81549811E+00  -0.177431E+01 -0.102823E+02  0.400195E+01
   1         175    6    0.4781E+03  -0.41518039E+00 -0.82150042E+00 -0.39084813E+00  -0.174588E+01 -0.159429E+02 -0.326577E+01
   1         176   69    0.2477E+03  -0.97762513E+00 -0.31023681E-01  0.20805420E+00  -0.213911E+01 -0.101075E+03  0.495714E+00
   1         177   42    0.3252E+03  -0.32565317E+00  0.44775897E+00  0.83274364E+00  -0.198967E+01 -0.424886E+02  0.650025E+02
   2         179    2    0.2779E+03  -0.69010472E+00 -0.70467067E+00 -0.16490839E+00  -0.136327E+01 -0.103962E+02  0.156756E+00
   2         180    3    0.1700E+03  -0.86732316E+00 -0.47346359E+00 -0.15356657E+00  -0.183660E+01 -0.110219E+02 -0.185903E+00
   2         181    4    0.6247E+01  -0.55368173E+00  0.72035426E+00  0.41776323E+00  -0.221438E+01 -0.318241E+01  0.579414E+01
   1         182    2    0.4850E+03  -0.20006521E+00 -0.86976135E+00 -0.45109773E+00  -0.263969E+01 -0.205308E+02 -0.767748E+01
   2         188    7    0.2378E+03  -0.92341149E+00 -0.28409982E+00  0.25806686E+00  -0.186440E+01 -0.191691E+02  0.498392E+01
   2         190    3    0.3889E+03  -0.68237811E+00 -0.65233827E+00 -0.32987103E+00  -0.198807E+01 -0.116858E+02 -0.201043E+01
   1         192  101    0.1615E+03  -0.79236180E+00 -0.46978986E+00 -0.38917875E+00  -0.222300E+01 -0.276402E+02 -0.321966E+02
   1         193   13    0.4357E+03  -0.70412344E+00 -0.71006405E+00  0.43791109E-02  -0.140285E+01 -0.312117E+02  0.426670E+01
   2         194    2    0.2416E+03  -0.69414091E+00 -0.50246197E+00 -0.51546121E+00  -0.166875E+01 -0.793445E+01 -0.329058E+01
   1         199   31    0.3576E+03  -0.96911013E+00 -0.24157210E+00 -0.49683414E-01  -0.225239E+01 -0.995748E+01 -0.470926E+02
   1         200   13    0.4431E+03  -0.68041414E+00 -0.83912492E-01  0.72800767E+00  -0.257673E+01 -0.160885E+02  0.246584E+02
   1         201   13    0.4532E+03  -0.35747653E+00 -0.91039783E+00  0.20829399E+00  -0.191191E+01 -0.393030E+02  0.537519E+01
   1         202   63    0.2558E+03  -0.91675568E+00 -0.37169603E+00  0.14629067E+00  -0.205460E+01 -0.583071E+01  0.747764E+02
   1         203   33    0.3416E+03  -0.49491462E+00  0.55742007E+00 -0.66658998E+00  -0.154792E+01 -0.370830E+02 -0.463574E+02
   1         205   54    0.2791E+03  -0.96703780E+00 -0.24685425E+00 -0.62456451E-01  -0.215750E+01 -0.716160E+02 -0.975884E+01
   1         207   43    0.3338E+03  -0.81368363E+00  0.35519013E+00 -0.46017262E+00  -0.145296E+01 -0.483318E+02  0.332836E+02
   2         210    1    0.2933E+03  -0.70460016E+00 -0.40394947E+00 -0.58340663E+00  -0.239410E+01 -0.833521E+01 -0.279910E+01
   1         211    3    0.4571E+03  -0.88322824E+00 -0.36647651E+00 -0.29257938E+00  -0.218427E+01 -0.105670E+02 -0.137102E+01
   1         213   38    0.3596E+03  -0.47911847E+00 -0.86762297E+00  0.13295060E+00  -0.200763E+01 -0.915828E+02 -0.180033E+01
   1         219   72    0.2325E+03  -0.39452147E+00 -0.52771205E+00 -0.75224519E+00  -0.264380E+01 -0.456405E+02  0.109802E+03
   1         221    1    0.4854E+03  -0.80843723E+00 -0.46361464E+00 -0.36261639E+00  -0.186286E+01 -0.594761E+01 -0.867976E+00
   1         224   41    0.3412E+03  -0.79632449E+00 -0.87675832E-01 -0.59848154E+00  -0.100834E+01 -0.523689E+02 -0.350943E+02
   2         225    5    0.9120E+02  -0.92426968E+00 -0.22309169E+00 -0.30976710E+00  -0.787506E+00 -0.825218E+01  0.236336E+01
   1         227   55    0.2961E+03  -0.66665202E+00 -0.74402165E+00 -0.44796254E-01  -0.235387E+01 -0.115700E+03  0.178084E+02
   1         228   34    0.3535E+03  -0.69458097E+00  0.18574290E+00 -0.69502288E+00  -0.139662E+01 -0.109336E+02 -0.465109E+02
   2         229    2    0.3175E+03  -0.53256726E+00 -0.84628701E+00  0.13048112E-01  -0.265771E+01 -0.115424E+02  0.910867E+00
   1         230   19    0.4217E+03  -0.95424819E+00 -0.12961024E+00  0.26946533E+00  -0.235998E+01  0.241414E+01  0.366784E+02
   2         232    3    0.3759E+03  -0.78487021E+00 -0.59438401E+00 -0.17517559E+00  -0.189511E+01 -0.955291E+01 -0.730889E+00
