 cpt#    psproj# nr.coll deposition site x,y,z
                         (Angs)
   2         654   11    0.438339E+01 -0.161506E+02 -0.382799E+01
   2         658   14    0.160349E+02 -0.236127E+02  0.176060E+01
   1         660  213    0.393336E+02  0.204668E+02 -0.354712E+02
   1         663  218    0.129537E+03  0.382099E+02  0.808301E+02
   2         664    9    0.426325E+01 -0.596807E+01  0.385054E+01
   2         665   10    0.421120E+01 -0.857097E+01  0.250202E+01
   2         669   11    0.107737E+02 -0.799037E+01 -0.496261E+01
   1         670  216    0.512974E+02  0.673178E+02  0.162302E+02
   2         673    8    0.196291E+01 -0.949313E+01  0.132519E+01
   2         676    9    0.361324E+01 -0.175252E+02 -0.927978E+00
   1         678  227    0.414000E+02 -0.705813E+02 -0.143691E+03
   2         679   20    0.220069E+02 -0.236988E+02 -0.213164E+02
   2         680    3    0.172531E+01 -0.368449E+01 -0.547411E+00
   1         683  222    0.611522E+02 -0.337121E+02  0.381313E+02
   2         684   24    0.200632E+02 -0.218032E+02  0.124635E+02
   2         686   11    0.885798E+01 -0.229233E+01  0.601354E+00
   1         687  218    0.724375E+02 -0.329479E+02  0.114577E+03
   2         688   14    0.105300E+02 -0.182554E+02  0.669623E+01
   2         689   15    0.276497E+01 -0.249335E+02  0.976301E+01
   2         695   16    0.874117E+01 -0.280234E+02  0.584968E+01
   2         697   12    0.668516E+01  0.394474E+01  0.480720E+01
   2         700   10    0.140337E+02 -0.422697E+01 -0.872446E+01
   2         701    9    0.109887E+01 -0.134437E+02  0.374884E+01
   2         702   11    0.344990E+01 -0.154878E+02  0.214013E+01
   1         704  221    0.593728E+02 -0.345741E+02 -0.141782E+03
   2         706   14    0.264224E+01 -0.278016E+01  0.140233E+02
   1         709  213    0.669980E+02  0.185671E+02 -0.113417E+03
   2         711   11    0.463544E+01 -0.180130E+01 -0.893296E+01
   2         712    9    0.560575E+01 -0.116377E+02 -0.859362E+01
   1         719  205    0.100903E+03 -0.203490E+02 -0.234711E+01
   1         720  226    0.107259E+03 -0.165876E+03  0.647424E+02
   2         722   10    0.137354E+02 -0.118914E+02  0.155159E+01
   2         725   23    0.252925E+02 -0.243010E+02  0.267591E+02
   1         729  219    0.423545E+02  0.472368E+02  0.109557E+03
   1         730  212    0.425039E+02 -0.901982E+02  0.135409E+02
   2         731   11    0.756452E+01 -0.190296E+02  0.399425E+01
   2         735   10    0.622872E+01 -0.992612E+01 -0.428377E+01
   1         738  213    0.110935E+03 -0.143615E+03 -0.258221E+02
   1         739  206    0.287912E+02 -0.765364E+02  0.575982E+02
   2         740   15    0.167290E+02  0.100056E+01  0.527979E+01
   2         741    9    0.722201E+01 -0.145509E+02 -0.541615E+01
   1         743  221    0.537744E+02 -0.544738E+01  0.473800E+02
   2         747    5    0.346957E+01 -0.128315E+02 -0.246209E+00
   1         748  210    0.908415E+02 -0.117140E+03 -0.944541E+01
   2         750   24    0.209183E+02 -0.772886E+01 -0.188389E+02
   2         752   11    0.232829E+01 -0.150929E+02 -0.138856E+02
   2         754    9    0.112025E+02 -0.123716E+02  0.715723E+01
   2         756   10    0.110211E+02 -0.156668E+02 -0.828061E+01
   2         757   16    0.185519E+02 -0.142391E+02 -0.901584E+00
   2         758   14    0.133837E+02 -0.216107E+02  0.572783E+01
   2         761   15    0.101323E+02 -0.171096E+02  0.678947E+01
   2         764   14    0.167955E+02 -0.749903E+01  0.633113E+01
   2         766   10    0.217202E+01 -0.282658E+01 -0.593251E+01
   1         767  225    0.102489E+03  0.546287E+02  0.947786E+02
   1         769  202    0.688712E+02 -0.108911E+03  0.272288E+02
   1         770  211    0.118199E+03  0.328009E+02  0.145960E+02
   2         773   16    0.340965E+01  0.237731E+01 -0.947590E+01
   1         774  227    0.121774E+03 -0.825870E+02 -0.102245E+03
   2         776   12    0.338888E+01 -0.173142E+02  0.493936E+01
   2         778   15    0.751773E+01 -0.331878E+01  0.118421E+01
   2         780   11    0.126162E+02 -0.202261E+02 -0.394362E+01
