 cpt#    psproj#  energy       directional cosines x,y,z
                  (eV)
   1         132  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         133  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         134  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         135  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         136  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         137  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         138  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         139  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         140  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         141  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         142  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         143  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         144  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         145  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         146  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         147  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         148  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         149  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         150  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         151  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         152  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         153  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         154  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         155  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         156  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         157  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         158  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         159  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         160  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         161  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         162  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         163  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         164  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         165  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         166  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         167  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         168  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         169  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         170  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         171  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
